country,name,x,y
Russian Federation,RU,2013-12-08 22:41:59,62.0
Russian Federation,RU,2014-01-01,63.0
Russian Federation,RU,2014-02-01,64.0
Russian Federation,RU,2014-03-01,65.0
Russian Federation,RU,2014-04-01,67.0
Russian Federation,RU,2014-05-01,67.0
Russian Federation,RU,2014-06-01,71.0
Russian Federation,RU,2014-07-01,71.0
Russian Federation,RU,2014-08-01,72.0
Russian Federation,RU,2014-09-01,75.0
Russian Federation,RU,2014-10-01,79.0
Russian Federation,RU,2014-11-01,84.0
Russian Federation,RU,2014-12-01,85.0
Russian Federation,RU,2015-01-01,89.0
Russian Federation,RU,2015-02-01,89.0
Russian Federation,RU,2015-03-01,91.0
Russian Federation,RU,2015-04-01,91.0
Russian Federation,RU,2015-05-01,91.0
Russian Federation,RU,2015-06-01,94.0
Russian Federation,RU,2015-07-01,96.0
Russian Federation,RU,2015-08-01,98.0
Russian Federation,RU,2015-09-01,99.0
Russian Federation,RU,2015-10-01,99.0
Russian Federation,RU,2015-11-01,99.0
Russian Federation,RU,2015-12-01,101.0
Russian Federation,RU,2016-01-01,102.0
Russian Federation,RU,2016-02-01,102.0
Russian Federation,RU,2016-03-01,102.0
Russian Federation,RU,2016-04-01,103.0
Russian Federation,RU,2016-05-01,103.0
Russian Federation,RU,2016-06-01,103.0
Russian Federation,RU,2016-07-01,104.0
Russian Federation,RU,2016-08-01,105.0
Russian Federation,RU,2016-09-01,106.0
Russian Federation,RU,2016-10-01,108.0
Russian Federation,RU,2016-11-01,109.0
