"ABSOLUTE_BEAM_ID","SERVICE_PLAN_NAME","count"
"Beam 19","I20E_20D_4U_60GB",2
"Beam 20","I20E_1.5D_.2U",50
"Beam 20","I20E_1.5D_.2U_5GB_NSP1",11
"Beam 20","I20E_1.5D_.2U_NSP1",57
"Beam 20","I20E_10D_2U",3
"Beam 20","I20E_10D_2U_NSP1",11
"Beam 20","I20E_1D_1U",2
"Beam 20","I20E_20D_4U",7
"Beam 20","I20E_20D_4U_60GB_NSP1",1
"Beam 20","I20E_20D_4U_NSP1",6
"Beam 20","I20E_3D_.5U",44
"Beam 20","I20E_3D_.5U_10GB",1
"Beam 20","I20E_3D_.5U_10GB_NSP1",9
"Beam 20","I20E_3D_.5U_NSP1",115
"Beam 20","I20E_5D_1U",13
"Beam 20","I20E_5D_1U_20GB_NSP1",4
"Beam 20","I20E_5D_1U_NSP1",37
"Beam 21","I20E_10D_2U_40GB",3
"Beam 21","I20E_20D_4U",2
"Beam 21","I20E_20D_4U_60GB",1
"Beam 25","I20E_1.5D_.2U",19
"Beam 25","I20E_1.5D_.2U_5GB",4
"Beam 25","I20E_1.5D_.2U_5GB_NSP1",11
"Beam 25","I20E_1.5D_.2U_NSP1",13
"Beam 25","I20E_10D_2U",11
"Beam 25","I20E_10D_2U_40GB",1
"Beam 25","I20E_10D_2U_40GB_NSP1",4
"Beam 25","I20E_10D_2U_NSP1",17
"Beam 25","I20E_20D_4U",11
"Beam 25","I20E_20D_4U_60GB_NSP1",11
"Beam 25","I20E_20D_4U_NSP1",28
"Beam 25","I20E_3D_.5U",21
"Beam 25","I20E_3D_.5U_10GB_NSP1",19
"Beam 25","I20E_3D_.5U_NSP1",84
"Beam 25","I20E_5D_1U",6
"Beam 25","I20E_5D_1U_20GB_NSP1",11
"Beam 25","I20E_5D_1U_NSP1",26
"Beam 26","I20E_20D_4U_60GB",1
"Beam 28","I20E_20D_4U",2
"Beam 29","I20E_1.5D_.2U",34
"Beam 29","I20E_1.5D_.2U_5GB_NSP1",5
"Beam 29","I20E_1.5D_.2U_NSP1",2
"Beam 29","I20E_10D_2U",7
"Beam 29","I20E_10D_2U_NSP1",17
"Beam 29","I20E_20D_4U",3
"Beam 29","I20E_20D_4U_60GB_NSP1",1
"Beam 29","I20E_20D_4U_NSP1",12
"Beam 29","I20E_3D_.5U",15
"Beam 29","I20E_3D_.5U_10GB_NSP1",8
"Beam 29","I20E_3D_.5U_NSP1",37
"Beam 29","I20E_5D_1U",2
"Beam 29","I20E_5D_1U_20GB",1
"Beam 29","I20E_5D_1U_20GB_NSP1",3
"Beam 29","I20E_5D_1U_NSP1",20
"Beam 32","B32_TEL_S1_40D_3U_aCBR_UVU_B",1
"Beam 32","Banorte_TEST",1
"Beam 32","I20E_1.5D_.2U",34
"Beam 32","I20E_1.5D_.2U_5GB_NSP1",19
"Beam 32","I20E_1.5D_.2U_NSP1",34
"Beam 32","I20E_10D_2U",8
"Beam 32","I20E_10D_2U_40GB_NSP1",4
"Beam 32","I20E_10D_2U_40GB_VRRP_NSP1",1
"Beam 32","I20E_10D_2U_NSP1",38
"Beam 32","I20E_20D_4U",19
"Beam 32","I20E_20D_4U_60GB_NSP1",5
"Beam 32","I20E_20D_4U_60GB_TELEMUNDO",2
"Beam 32","I20E_20D_4U_NSP1",44
"Beam 32","I20E_3D_.5U",41
"Beam 32","I20E_3D_.5U_10GB",3
"Beam 32","I20E_3D_.5U_10GB_NSP1",9
"Beam 32","I20E_3D_.5U_NSP1",183
"Beam 32","I20E_5D_1U",15
"Beam 32","I20E_5D_1U_20GB_NSP1",19
"Beam 32","I20E_5D_1U_NSP1",44
"Beam 32","V44DISABLE_20D_4U",1
